Name	IATA	ICAO
Private flight	-	N/A
Unknown	-	N/A
ELK Airways	--	ELK
Tom\\'s & co airliners	&T	T&O
Wilderness Air	";;"	\N
Tyrolean Airways	\N	TYR
Whitaker Air	^^	\N
U.S. Air	-+	--+
Bobb Air Freight	1	\N
Blue Air	0B	JOR
Darwin Airline	0D	DWT
Copenhagen Express	0X	CX0
TUIfly (X3)	11	\N
12 North	12	N12
Eastern Atlantic Virtual Airlines	13	EAV
Abacus International	1B	
OneChina	1C	1CH
CB Airways UK ( Interliging Flights )	1F	CIF
NetJets	1I	EJA
Novair	1I	NVR
1Time Airline	1T	RNX
Air Salone	20	RNE
Euro Jet	24	\N
Deutsche Bahn	2A	
Aerocondor	2B	ARD
Aero VIP (2D)	2D	\N
Frontier Flying Service	2F	FTA
Star Peru (2I)	2I	\N
Air Burkina	2J	VBW
Aerolineas Galapagos (Aerogal)	2K	GLG
Helvetic Airways	2L	OAW
Moldavian Airlines	2M	MDV
NextJet	2N	NTJ
Air Salone	2O	
Air Philippines	2P	GAP
Air Cargo Carriers	2Q	SNC
Haiti Ambassador Airlines	2T	HAM
Air Guinee Express	2U	GIP
Welcome Air	2W	WLC
Regionalia Uruguay	2X	2K2
JobAir	3B	\N
Air Choice One	3E	\N
Fly Colombia ( Interliging Flights )	3F	3FF
Atlant-Soyuz Airlines	3G	AYZ
Air Comet Chile	3I	\N
Jetstar Asia Airways	3K	JSA
Intersky	3L	ISK
Air Arabia Maroc	3O	\N
Tiara Air	3P	TNM
Yunnan Airlines	3Q	CYH
Moskovia Airlines	3R	GAI
Air Antilles Express	3S	\N
Turan Air	3T	URN
Sichuan Airlines	3U	CSC
Malawian Airlines	3W	\N
Air Kiribati	4A	AKL
Aires	4C	ARE
Air Sinai	4D	ASD
Gazpromavia	4G	GZP
United Airways	4H	UBD
Askari Aviation	4K	AAS
Euroline	4L	MJX
LAN Argentina	4M	DSM
Air North Charter - Canada	4N	ANT
