Vluchtnr	Airlinecode	Destcode	Planterminal	Plangate	Plantijd
9W2888	9W	DEL	D	D2	2:10 PM
9W2889	9W	DEL	D	D2	3:25 PM
A3598	A3	ATH	A	A6	5:10 AM
A3599	A3	ATH	A	A6	5:55 AM
A3600	A3	ATH	A	A6	2:45 PM
A3601	A3	ATH	A	A6	3:30 PM
A3620	A3	ATH	A	A6	8:05 AM
A3621	A3	ATH	A	A6	8:50 AM
A3622	A3	ATH	A	A6	8:50 PM
A3623	A3	ATH	A	A6	9:35 PM
AA1260	AA	LAS	D	D6	9:20 AM
AA1261	AA	LAS	D	D6	10:35 AM
AC1020	AC	YYZ	D	D6	11:20 PM
AC1021	AC	YYZ	D	D6	2:50 AM
AF396	AF	CDG	C	C6	11:15 AM
AF397	AF	CDG	C	C6	12:00 PM
AF398	AF	CDG	C	C6	8:50 PM
AF399	AF	CDG	C	C6	9:35 PM
AF478	AF	SXB	C	C6	12:45 PM
AF479	AF	SXB	C	C6	1:30 PM
AF480	AF	SXB	C	C6	6:40 PM
AF481	AF	SXB	C	C6	7:25 PM
AF890	AF	CDG	C	C6	6:10 AM
AF891	AF	CDG	C	C6	6:55 AM
AF892	AF	CDG	C	C6	3:05 PM
AF893	AF	CDG	C	C6	3:50 PM
AF92	AF	CDG	C	C6	9:00 AM
AF93	AF	CDG	C	C6	9:45 AM
AF94	AF	CDG	C	C6	1:55 PM
AF95	AF	CDG	C	C6	2:40 PM
AM3448	AM	MEX	D	D3	6:30 AM
AM3449	AM	MEX	D	D3	7:45 AM
AT2486	AT	CMN	E	E5	10:25 PM
AT2487	AT	CMN	E	E5	3:25 AM
AT2488	AT	CMN	E	E5	12:30 PM
AT2489	AT	CMN	E	E5	1:45 PM
AY188	AY	HEL	A	A5	8:50 AM
AY189	AY	HEL	A	A5	9:35 AM
AY190	AY	HEL	A	A5	4:20 PM
AY191	AY	HEL	A	A5	5:05 PM
AZ206	AZ	MXP	B	B3	9:40 AM
AZ207	AZ	MXP	B	B3	10:25 AM
AZ208	AZ	MXP	B	B3	5:15 PM
AZ209	AZ	MXP	B	B3	6:00 PM
AZ494	AZ	FCO	B	B3	6:00 AM
AZ495	AZ	FCO	B	B3	6:45 AM
AZ496	AZ	FCO	B	B3	2:25 PM
AZ497	AZ	FCO	B	B3	3:10 PM
AZ576	AZ	FCO	B	B3	11:15 PM
AZ577	AZ	FCO	B	B3	4:15 AM
AZ578	AZ	FCO	B	B3	1:25 PM
AZ579	AZ	FCO	B	B3	2:10 PM
BA312	BA	LGW	C	C3	9:45 AM
BA313	BA	LGW	C	C3	10:30 AM
