Airlinecode	Vliegtuigcode	Vliegtuigtype	Bouwjaar
TK	VTK297	321	1970
DL	VDL5829	320	2007
SU	VSU1831	321	2012
EZY	VEZY741	738	1978
KL	VKL499	738	1982
GA	VGA4943	752	1982
FR	VFR735	320	1984
KL	VKL315	73G	1971
HV	VHV381	772	2003
HV	VHV303	73G	2009
BT	VBT361	F70	2013
DY	VDY439	738	1987
EI	VEI109	319	1983
AZ	VAZ577	73G	1998
KL	VKL3123	772	1992
UA	VUA2363	764	1975
KL	VKL301	738	2009
EZY	VEZY461	738	1988
SQ	VSQ2993	359	1992
TK	VTK505	321	1984
KL	VKL859	738	1990
LH	VLH291	320	1991
A3	VA3599	320	2000
CAO	VCAO9406	77F	2013
KL	VKL447	738	1981
KL	VKL2761	333	2000
FDX	VFDX9706	75F	1991
HV	VHV573	763	1971
IB	VIB667	E70	1996
SQC	VSQC8052	74Y	1987
FR	VFR455	332	2000
KL	VKL85	738	1973
CAL	VCAL7070	74Y	1981
MPH	VMPH6537	74Y	1999
KL	VKL5715	772	1988
IR	VIR3141	319	1997
BA	VBA941	320	2011
FDX	VFDX5530	75F	2000
FR	VFR125	738	2012
LCO	VLCO7776	77F	1990
SQC	VSQC9266	74Y	1986
TU	VTU1081	736	2013
AM	VAM3449	738	2000
-	VG50	DF2	2009
KL	VKL709	73G	1986
EZY	VEZY727	319	1999
BW	VBW5461	738	1983
DY	VDY205	738	1981
HV	VHV403	772	2004
SK	VSK871	73G	1973
EZY	VEZY831	738	1974
MPH	VMPH8799	74Y	1978
KL	VKL645	E90	2005
LO	VLO957	E90	1996
DL	VDL3115	763	1998
SK	VSK75	738	1976
PS	VPS393	738	1972
IRA	VIRA5752	ABF	1985
KL	VKL3223	744	1986
KAL	VKAL7404	77F	1997
FDX	VFDX5418	75F	2012
BA	VBA759	320	1972
KL	VKL519	738	2013
MPH	VMPH8423	74Y	1978
FR	VFR175	332	1978
MPH	VMPH5443	74Y	1985
EK	VEK3557	772	1995
UA	VUA2889	772	1972
-	VG171	CNT	1996
AY	VAY189	332	2007
KL	VKL843	F70	2005
EZY	VEZY945	73G	1988
AF	VAF93	738	1972
-	VG43	J31	1990
-	VG92	CCX	2000
MAS	VMAS9960	33F	2013
-	VG162	BEH	2006
AA	VAA1261	320	2013
HV	VHV709	E70	1983
HV	VHV25	320	1973
KL	VKL2697	333	1978
MAS	VMAS9150	33F	1977
DY	VDY643	738	1986
AZ	VAZ207	73G	1982
BA	VBA313	E70	1988
KL	VKL5011	332	1987
-	VG97	DF3	1989
JL	VJL2411	772	2008
EZY	VEZY633	E70	2013
FB	VFB469	744	1975
KL	VKL729	738	2002
MS	VMS5883	738	1987
EZY	VEZY697	E70	1972
OS	VOS897	E90	1990
-	VG28	CNJ	1984
MPH	VMPH6569	74Y	1984
HV	VHV273	332	1994
-	VG79	BEH	1977
SQC	VSQC5186	74Y	1976
JP	VJP383	738	1982
CPA	VCPA5546	74Y	1987
DY	VDY791	73G	1994
OU	VOU783	E90	1976
AF	VAF397	738	2001
EZY	VEZY823	772	1985
SN	VSN917	F70	2010
KL	VKL565	E70	1975
OK	VOK667	319	1993
CPA	VCPA5812	74Y	1990
KL	VKL5415	332	2007
MPH	VMPH7657	74Y	2008
MPH	VMPH9263	74Y	2002
HV	VHV651	772	2011
KL	VKL2333	744	1972
SK	VSK613	320	2002
TS	VTS5871	772	1994
KL	VKL427	73G	1976
SR	VSR437	321	2005
EW	VEW219	320	1970
-	VG14	J31	1979
EY	VEY1775	320	1995
SQC	VSQC5738	74Y	2006
KL	VKL4905	772	1997
-	VG74	DF2	1987
GEC	VGEC5692	77F	1998
KAL	VKAL9082	77F	1980
DL	VDL4991	320	1977
KL	VKL1467	744	1973
MAS	VMAS8278	33F	1993
KL	VKL133	73G	1989
BR	VBR5223	333	1981
QTR	VQTR8520	77F	1977
MPH	VMPH7673	74Y	1994
ETD	VETD9672	77F	1981
-	VG223	CCX	1984
DHK	VDHK8056	75F	1996
SQC	VSQC8246	74Y	1970
KL	VKL1453	772	1983
ETD	VETD6828	77F	1984
MPH	VMPH5947	74Y	2011
GEC	VGEC5064	M1F	2003
MPH	VMPH9297	74Y	1981
KQ	VKQ2033	772	1979
SQC	VSQC8618	74Y	1970
KL	VKL1811	744	1972
KL	VKL4647	739	2004
KL	VKL189	E90	1997
GEC	VGEC5750	77F	1995
TS	VTS5597	773	2009
QR	VQR4439	772	1992
SQC	VSQC8380	74Y	1981
QTR	VQTR5832	77F	1992
SQC	VSQC8212	74Y	1975
QTR	VQTR8710	77F	2007
CPA	VCPA9866	74Y	1974
MPH	VMPH7049	74Y	1998
MAS	VMAS6972	33F	1997
PY	VPY3141	343	1983
KL	VKL3385	744	2007
KL	VKL3057	332	1980
LY	VLY1735	739	1980
KL	VKL2623	772	1998
MPH	VMPH7079	74Y	2004
CAO	VCAO9480	77F	1979
-	VG96	CCX	2012
ETD	VETD6902	77F	2000
KL	VKL4293	744	2001
-	VG131	CCX	1979
GEC	VGEC9858	M1F	2010
CAL	VCAL8464	74Y	1997
-	VG115	ACP	1993
GEC	VGEC7572	77F	1986
CI	VCI4167	359	1992
CPA	VCPA6508	74Y	1994
MAS	VMAS6276	33F	1983
LCO	VLCO5452	77F	2005
CPA	VCPA6534	74Y	2007
-	VG120	BEH	1977
BR	VBR1877	333	2013
KL	VKL5303	772	1987
MPH	VMPH6795	74Y	1985
KAL	VKAL9660	77F	2004
KE	VKE4451	332	2013
SQC	VSQC8578	74Y	1998
MPH	VMPH5007	74Y	2002
KL	VKL2413	772	2012
UAE	VUAE6620	77F	1992
SQC	VSQC6788	74Y	1995
UAE	VUAE9522	77F	2003
THY	VTHY5344	33F	1988
ETD	VETD6774	77F	1971
CAO	VCAO8158	77F	1997
-	VG114	J31	2001
-	VG246	DF3	1995
UAE	VUAE9694	77F	2011
CPA	VCPA5918	74Y	2013
QTR	VQTR9320	77F	1976
MPH	VMPH9603	74Y	1988
MU	VMU2605	320	1983
DHK	VDHK9354	75F	1974
IRA	VIRA6268	ABF	2008
LCO	VLCO5016	77F	1977
GEC	VGEC9140	M1F	1986
-	VG34	CNJ	1973
-	VG204	GRJ	2011
MPH	VMPH5175	74Y	2010
-	VG235	H25	2003
CAL	VCAL8832	74Y	1990
-	VG8	ER3	1997
-	VG250	J31	1974
-	VG109	D28	2013
CPA	VCPA9038	74Y	1991
-	VG88	DF2	2003
IRA	VIRA6966	ABF	2012
-	VG179	CCJ	1992
-	VG31	DF3	1978
ETD	VETD9086	77F	1979
FDX	VFDX7614	75F	2006
CAL	VCAL9174	74Y	1999
ETD	VETD6454	77F	1985
MPH	VMPH9419	74Y	1993
MPH	VMPH6915	74Y	2011
CPA	VCPA5052	74Y	2005
ETD	VETD7342	77F	1988
-	VG32	GRJ	1991
-	VG73	ER3	1998
-	VG226	ER3	1978
SQC	VSQC9004	74Y	1990
-	VG4	D28	1977
THY	VTHY7076	33F	1974
-	VG42	GRJ	1982
MPH	VMPH5217	74Y	1979
SQC	VSQC9342	74Y	1999
DHK	VDHK7290	75F	1984
MPH	VMPH9853	74Y	1987
SQC	VSQC5022	74Y	1993
-	VG68	BET	2003
-	VG130	GRJ	1986
ETD	VETD5766	77F	1998
-	VG201	BEH	2013
-	VG71	CCX	1980
-	VG52	CNJ	1988
-	VG93	CCX	1983
-	VG82	ER3	1985
MPH	VMPH5313	74Y	1983
-	VG141	H25	2002
CPA	VCPA5586	74Y	2012
