IATA;ICAO;Merk;Type;Wake;Cat;Capaciteit;Vracht
100;F100;Fokker;Fokker 100;M;Pax;100;2
141;B461;British Aerospace;BAe 146-100 Pax;M;Pax;105;5
142;B462;British Aerospace;BAe 146-200 Pax;M;Pax;115;5
143;B463;British Aerospace;BAe 146-300 Pax;M;Pax;130;5
146;;British Aerospace;BAe 146 all pax models;M;Pax;;
310;A310;Airbus;Airbus A310 all pax models;H;Pax;250;5
312;A310;Airbus;Airbus A310-200 pax;H;Pax;250;5
313;A310;Airbus;Airbus A310-300 pax;H;Pax;250;5
318;A318;Airbus;Airbus A318;M;Pax;105;8
319;A319;Airbus;Airbus A319;M;Pax;125;8
320;A320;Airbus;Airbus A320-100/200;M;Pax;150;8
321;A321;Airbus;Airbus A321-100/200;M;Pax;185;8
330;A330;Airbus;Airbus A330 all models;H;Pax;250;8
332;A332;Airbus;Airbus A330-200;H;Pax;246;8
333;A333;Airbus;Airbus A330-300;H;Pax;300;8
340;A340;Airbus;Airbus A340 all models;H;Pax;310;8
342;A342;Airbus;Airbus A340-200;H;Pax;310;8
343;A343;Airbus;Airbus A340-300;H;Pax;340;8
345;A345;Airbus;Airbus A340-500;H;Pax;340;8
346;A346;Airbus;Airbus A340-600;H;Pax;340;8
380;A388;Airbus;Airbus A380 pax;H;Pax;880;15
703;B703;Boeing;Boeing 707-300 pax;H;Pax;;
707;n/a;Boeing;Boeing 707/720 all pax models;H;Pax;;
717;B712;Boeing;Boeing 717;M;Pax;135;5
721;B721;Boeing;Boeing 727-100 pax;M;Pax;;
722;B722;Boeing;Boeing 727-200 pax;M;Pax;;
727;n/a;Boeing;Boeing 727 all pax models;M;Pax;;
731;B731;Boeing;Boeing 737-100 pax;M;Pax;;
732;B732;Boeing;Boeing 737-200 pax;M;Pax;;
733;B733;Boeing;Boeing 737-300 pax;M;Pax;150;8
734;B734;Boeing;Boeing 737-400 pax;M;Pax;175;8
735;B735;Boeing;Boeing 737-500 pax;M;Pax;110;8
736;B736;Boeing;Boeing 737-600 pax;M;Pax;110;8
737;n/a;Boeing;Boeing 737 all pax models;M;Pax;;
738;B738;Boeing;Boeing 737-800 pax;M;Pax;180;8
739;B739;Boeing;Boeing 737-900 pax;M;Pax;240;5
741;B741;Boeing;Boeing 747-100 pax;H;Pax;;
742;B742;Boeing;Boeing 747-200 pax;H;Pax;;
743;B743;Boeing;Boeing 747-300 pax;H;Pax;;
744;B744;Boeing;Boeing 747-400 pax;H;Pax;416;5
747;n/a;Boeing;Boeing 747 all pax models;H;Pax;;
752;B752;Boeing;Boeing 757-200 pax;H;Pax;200;
753;B753;Boeing;Boeing 757-300 pax;H;Pax;220;5
757;n/a;Boeing;Boeing 757 all pax models;H;Pax;;
762;B762;Boeing;Boeing 767-200 pax;H;Pax;200;8
763;B763;Boeing;Boeing 767-300 pax;H;Pax;250;8
764;B764;Boeing;Boeing 767-400 pax;H;Pax;275;8
767;n/a;Boeing;Boeing 767 all pax models;H;Pax;;
772;B772;Boeing;Boeing 777-200 pax;H;Pax;320;8
773;B773;Boeing;Boeing 777-300 pax;H;Pax;350;8
777;n/a;Boeing;Boeing 777 all pax models;H;Pax;;
14F;;British Aerospace;BAe 146 Freighter (-100/200/300QT & QC);M;Pax;;
14X;B461;British Aerospace;BAe 146 Freighter (-100QT & QC);M;Pax;;
